identifier,molecular_weight,alogp,qed_drug_likeliness,contains_sugar,np_likeness,np_classifier_pathway,np_classifier_superclass,fp_row_index,UMAP1,UMAP2
CNP0085096.1,534.73,4.72,0.28,False,3.04,Terpenoids,Triterpenoids,602754,3.7043197,1.4486052
CNP0341353.1,334.46,3.42,0.8,False,3.31,Terpenoids,Diterpenoids,602770,5.7320337,3.807354
CNP0223529.1,346.47,4.76,0.6,False,1.81,Terpenoids,Sesterterpenoids,602777,9.36698,6.0137115
CNP0382799.0,469.49,5.24,0.34,False,-0.03,Shikimates and Phenylpropanoids,Flavonoids,602784,9.465966,11.608767
CNP0173634.1,614.64,3.69,0.24,False,1.19,Shikimates and Phenylpropanoids,Lignans,602797,7.121598,10.076718
CNP0171888.1,286.46,5.49,0.5,False,3.55,Terpenoids,Diterpenoids,602798,6.1536055,2.9092765
CNP0494794.2,835.39,16.92,0.03,False,0.29,Fatty acids,Glycerolipids,602810,-3.6536543,-14.644825
CNP0247410.0,359.41,1.97,0.7,False,-0.61,Alkaloids,,602812,9.330369,9.6945095
CNP0351794.2,859.03,0.28,0.22,False,0.83,Amino acids and Peptides,Oligopeptides,602835,10.940931,5.686594
CNP0412351.1,418.56,2.65,0.78,False,-1.35,Alkaloids,,602841,10.23138,5.2703032
CNP0568631.1,600.71,2.46,0.1,False,1.58,Polyketides,Linear polyketides,602912,7.169633,4.361569
CNP0267948.0,541.56,3.85,0.27,False,-0.44,Alkaloids,Tryptophan alkaloids,602919,11.988611,8.604303
CNP0388155.1,330.47,2.97,0.87,False,0.35,Alkaloids,Lysine alkaloids,602926,10.46693,6.81979
CNP0263560.1,803.91,0.61,0.16,True,1.13,Amino acids and Peptides,Oligopeptides,602931,5.975498,14.711582
CNP0141656.1,325.41,0.85,0.25,False,2.03,Alkaloids,Tetramate alkaloids,602934,8.543472,4.605632
CNP0502565.2,807.34,16.0,0.03,False,0.39,Fatty acids,Glycerolipids,603034,-5.164051,-9.000018
CNP0153175.0,441.4,3.35,0.32,False,0.32,Unclassified,,603049,7.5359616,7.855008
CNP0398966.0,373.46,4.01,0.5,False,-1.46,Alkaloids,Tryptophan alkaloids,603072,10.780543,7.396474
CNP0369748.0,422.53,3.77,0.6,False,-1.33,Alkaloids,,603100,10.628792,9.494496
CNP0166902.0,490.56,4.3,0.34,False,-0.37,Alkaloids,Tryptophan alkaloids,603163,11.483011,9.419966
CNP0331729.1,404.5,2.64,0.73,False,2.02,Terpenoids,Steroids,603204,7.3568387,0.27003086
CNP0123444.0,444.49,3.13,0.41,False,-1.04,Alkaloids,Tryptophan alkaloids,603242,12.00885,8.019421
CNP0104066.1,339.4,2.51,0.91,False,-1.23,Alkaloids,Lysine alkaloids,603261,16.673477,8.566059
CNP0482261.0,312.54,6.67,0.23,False,0.16,Fatty acids,Fatty esters,603286,11.269941,1.9419657
CNP0218655.1,738.97,4.55,0.21,False,1.54,Amino acids and Peptides,Oligopeptides,603335,12.837991,6.3907423
CNP0126993.1,332.31,1.79,0.79,False,1.81,Shikimates and Phenylpropanoids,Flavonoids,603347,7.680741,10.542233
CNP0368293.1,744.97,2.08,0.14,False,2.51,Alkaloids,,603364,5.222985,0.9539316
CNP0408507.2,540.99,1.99,0.24,False,3.0,Terpenoids,Diterpenoids,603371,3.080164,4.0140486
CNP0290388.1,464.38,2.25,0.21,False,1.79,Polyketides,Polycyclic aromatic polyketides,603373,7.8876,6.8894987
CNP0369536.1,770.73,-2.25,0.06,True,1.74,Shikimates and Phenylpropanoids,Phenylethanoids (C6-C2),603398,3.174596,14.377109
CNP0293884.1,278.24,-0.09,0.43,False,1.23,Shikimates and Phenylpropanoids,,603429,8.703911,6.9619536
CNP0568991.1,694.93,10.95,0.03,False,0.91,Fatty acids,Glycerophospholipids,603442,21.782997,15.962003
CNP0056938.0,221.26,3.38,0.57,False,-0.2,Alkaloids,Tryptophan alkaloids,603452,10.510071,7.590469
CNP0512386.0,448.38,5.56,0.44,False,-0.63,Alkaloids,Tryptophan alkaloids,603501,9.082468,9.800854
CNP0068159.1,375.51,2.24,0.64,False,1.15,Terpenoids,Diterpenoids,603507,4.6154504,2.0770013
CNP0194859.1,614.52,1.53,0.35,False,1.56,Polyketides,Naphthalenes,603526,7.329366,7.157143
CNP0337882.2,246.31,2.89,0.81,False,1.2,Terpenoids,Sesquiterpenoids,603529,8.494684,6.2636747
