identifier,molecular_weight,alogp,qed_drug_likeliness,contains_sugar,np_likeness,np_classifier_pathway,np_classifier_superclass,fp_row_index,UMAP1,UMAP2
CNP0265951.1,234.34,3.18,0.65,False,3.27,Terpenoids,Sesquiterpenoids,13,7.47535,3.0124683
CNP0198240.1,468.77,8.74,0.28,False,3.19,Terpenoids,Triterpenoids,15,3.234571,1.8692198
CNP0338775.1,634.81,3.78,0.13,True,2.83,Terpenoids,Triterpenoids,24,3.627927,1.517848
CNP0060584.0,270.24,0.08,0.53,False,1.8,Polyketides,Cyclic polyketides,52,7.500623,5.1625566
CNP0349164.0,135.13,0.93,0.54,False,-1.0,Alkaloids,,55,9.0803175,6.273339
CNP0365724.1,1233.52,-1.0,0.04,False,1.06,Amino acids and Peptides,Oligopeptides,89,9.792352,4.635616
CNP0578913.1,228.2,-1.17,0.44,False,3.17,Terpenoids,Monoterpenoids,105,9.113159,3.9137232
CNP0132544.1,358.43,3.35,0.6,False,1.42,Shikimates and Phenylpropanoids,Diarylheptanoids,161,8.630369,6.787241
CNP0182212.1,390.39,-2.15,0.34,True,2.77,Terpenoids,Monoterpenoids,192,6.357027,14.992673
CNP0109556.1,374.43,3.79,0.71,False,1.87,Shikimates and Phenylpropanoids,Lignans,202,7.460215,10.321104
CNP0313311.1,632.66,3.2,0.26,False,2.19,Terpenoids,Triterpenoids,281,2.6220067,3.481112
CNP0205977.1,927.05,1.0,0.14,True,1.97,Terpenoids,Steroids,285,14.032565,-0.9798465
CNP0348583.1,1441.57,-5.37,0.04,True,2.02,Terpenoids,Triterpenoids,343,9.680056,17.41747
CNP0215465.2,574.71,2.47,0.21,False,3.05,Terpenoids,Triterpenoids,354,8.708057,0.43245545
CNP0244821.1,466.66,6.4,0.44,False,3.59,Terpenoids,Triterpenoids,356,6.086208,3.7425373
CNP0248665.1,370.4,3.08,0.55,False,1.91,Shikimates and Phenylpropanoids,Flavonoids,394,7.933896,9.2850685
CNP0303777.0,224.26,2.45,0.46,False,1.01,Terpenoids,Monoterpenoids,495,8.516921,6.6134906
CNP0291118.0,362.51,5.74,0.24,False,1.91,Polyketides,Aromatic polyketides,501,9.507462,2.9111319
CNP0548130.0,417.49,3.12,0.21,False,-1.85,Alkaloids,Anthranilic acid alkaloids,532,10.309018,7.2612185
CNP0398215.0,331.38,3.28,0.61,False,-1.26,Alkaloids,Tryptophan alkaloids,552,10.727096,7.5024147
CNP0367337.0,249.22,1.66,0.86,False,-0.14,Alkaloids,Anthranilic acid alkaloids,568,8.725671,9.286025
CNP0345566.0,475.54,4.92,0.39,False,-0.44,Shikimates and Phenylpropanoids,Coumarins,677,9.673441,11.32641
CNP0122877.1,403.48,2.81,0.73,False,-0.72,Alkaloids,Tryptophan alkaloids,696,12.033915,8.574877
CNP0202010.3,376.45,2.04,0.7,False,3.24,Terpenoids,Triterpenoids,712,6.048224,4.7957373
CNP0198208.0,184.28,3.38,0.44,False,1.03,Fatty acids,Fatty Acids and Conjugates,720,10.090849,2.7333174
CNP0412547.1,486.74,8.77,0.13,False,1.0,Terpenoids,Meroterpenoids,755,9.474913,2.6971958
CNP0557639.1,838.04,3.06,0.15,False,0.1,Amino acids and Peptides,Oligopeptides,760,9.6649,4.7069597
CNP0278278.2,784.76,-1.95,0.07,True,1.74,Shikimates and Phenylpropanoids,Phenylethanoids (C6-C2),765,3.1929536,14.373546
CNP0310253.1,1077.31,-0.15,0.08,True,1.96,Terpenoids,Triterpenoids,774,7.708143,16.470854
CNP0130344.0,441.52,3.74,0.54,False,-0.12,Shikimates and Phenylpropanoids,Coumarins,834,10.768845,11.4143095
CNP0388272.1,458.52,3.53,0.59,False,-0.52,Alkaloids,Tryptophan alkaloids,905,12.202507,8.451314
CNP0167379.1,512.65,3.71,0.31,False,0.73,Terpenoids,Sesquiterpenoids,929,10.991999,6.5694246
CNP0165790.0,415.54,3.21,0.71,False,-0.44,Alkaloids,Tyrosine alkaloids,964,10.440106,7.316723
CNP0112731.1,422.47,-0.08,0.36,False,3.94,Terpenoids,Diterpenoids,1029,3.5091622,3.27738
CNP0359274.1,542.68,0.47,0.28,False,-1.27,Amino acids and Peptides,Small peptides,1056,11.013261,5.127917
CNP0332722.0,474.56,3.85,0.38,False,-0.81,Alkaloids,Tryptophan alkaloids,1079,11.315606,9.369504
CNP0393646.0,475.54,5.0,0.38,False,-0.51,Shikimates and Phenylpropanoids,Coumarins,1087,9.660766,11.294425
CNP0377058.1,417.51,1.97,0.63,False,-0.69,Unclassified,,1102,10.72672,9.486724
CNP0171440.0,282.3,3.48,0.74,False,0.4,Shikimates and Phenylpropanoids,Flavonoids,1124,8.89116,11.329885
CNP0348743.1,490.64,5.27,0.33,False,-0.14,Shikimates and Phenylpropanoids,Coumarins,1136,10.005654,10.885688
CNP0375438.1,388.42,1.92,0.77,False,-0.05,Alkaloids,,1144,8.876333,10.269546
CNP0393430.2,387.86,0.6,0.39,False,2.11,Alkaloids,Ornithine alkaloids,1183,6.7098694,4.4527736
CNP0385445.1,371.4,0.59,0.59,False,-1.0,Alkaloids,Histidine alkaloids,1208,10.702058,9.652664
CNP0351214.0,365.39,3.68,0.65,False,-0.39,Shikimates and Phenylpropanoids,Coumarins,1227,9.337547,11.776623
CNP0418868.1,286.42,2.99,0.93,False,-0.7,Alkaloids,Lysine alkaloids,1251,10.864785,5.826781
CNP0324806.0,484.92,4.09,0.41,False,1.61,Polyketides,Phloroglucinols,1255,8.538063,6.798948
CNP0017963.0,278.39,3.07,0.62,False,2.42,Terpenoids,Sesquiterpenoids,1262,3.6522856,3.784004
CNP0401203.0,434.49,4.63,0.4,False,-0.54,Alkaloids,,1357,9.368997,9.668449
CNP0017569.0,414.72,7.88,0.45,False,2.28,Terpenoids,Steroids,1377,6.2609797,0.6416495
CNP0134583.1,578.52,-1.83,0.15,True,1.6,Shikimates and Phenylpropanoids,Flavonoids,1427,4.790624,15.964091
CNP0155931.0,248.35,3.13,0.91,False,-0.29,Alkaloids,Tryptophan alkaloids,1456,12.154662,7.903561
CNP0198887.0,253.05,2.05,0.77,False,1.29,Polyketides,Naphthalenes,1468,8.681473,7.246285
CNP0199454.1,536.61,3.89,0.25,False,-0.5,Shikimates and Phenylpropanoids,Coumarins,1486,10.61488,11.797253
CNP0186543.0,449.42,3.16,0.56,False,0.05,Polyketides,,1512,8.91578,8.238623
CNP0560188.1,360.41,2.27,0.58,False,-0.23,Unclassified,,1545,12.462752,7.9249067
CNP0575565.1,549.51,3.29,0.09,True,1.73,Shikimates and Phenylpropanoids,Flavonoids,1550,3.370648,14.607341
CNP0265752.1,443.59,5.02,0.6,False,-0.38,Alkaloids,Tryptophan alkaloids,1611,12.137929,8.330207
CNP0407057.0,344.32,2.17,0.77,False,0.63,Shikimates and Phenylpropanoids,Coumarins,1632,7.947805,10.633122
CNP0226569.1,352.39,1.73,0.91,False,-0.61,Alkaloids,Lysine alkaloids,1636,17.025446,8.332784
CNP0424972.1,570.55,1.35,0.24,True,2.21,Terpenoids,Monoterpenoids,1651,5.6110277,14.700055
CNP0346522.0,333.34,4.29,0.51,False,0.46,Alkaloids,Tyrosine alkaloids,1744,7.5297523,10.793401
CNP0580770.0,249.27,2.53,0.87,False,-1.13,Alkaloids,Tryptophan alkaloids,1798,10.249562,9.255175
CNP0168529.2,389.4,2.47,0.41,False,1.76,Alkaloids,Ornithine alkaloids,1832,3.3596754,4.319308
CNP0423879.1,564.85,7.76,0.07,False,1.93,Polyketides,Linear polyketides,1836,8.669198,4.5434313
CNP0479937.1,959.53,19.32,0.03,False,0.51,Fatty acids,Glycerolipids,1870,24.886955,19.094812
CNP0548619.1,695.12,13.16,0.04,False,0.35,Fatty acids,Glycerolipids,1958,0.9359694,-18.288372
CNP0054345.0,406.53,4.27,0.75,False,-0.57,Unclassified,,1986,8.692056,8.085399
CNP0592095.0,556.61,6.49,0.16,False,-0.23,Shikimates and Phenylpropanoids,,2030,9.048978,9.372274
CNP0528672.3,562.11,4.68,0.48,False,-0.82,Terpenoids,,2036,17.762846,11.827482
CNP0177648.2,287.36,1.85,0.84,False,2.2,Alkaloids,Tyrosine alkaloids,2067,8.35543,10.09263
CNP0464644.1,343.43,2.14,0.89,False,-0.59,Alkaloids,Lysine alkaloids,2089,11.430439,6.4341
CNP0302095.2,222.33,3.13,0.63,False,1.06,Terpenoids,Monoterpenoids,2133,7.5696397,2.548857
CNP0490121.1,612.21,3.4,0.42,False,-0.89,Alkaloids,Pseudoalkaloids,2178,17.762785,11.841251
CNP0568715.1,387.44,2.81,0.59,False,-0.13,Alkaloids,Tryptophan alkaloids,2214,11.365828,7.2417593
CNP0452671.0,247.73,3.36,0.76,False,-1.44,Alkaloids,,2224,9.72169,6.1431007
CNP0245222.3,160.22,2.16,0.62,False,1.54,Unclassified,,2234,10.369563,6.774749
CNP0034401.2,386.5,1.7,0.83,False,-1.26,Alkaloids,Lysine alkaloids,2239,10.6293955,5.591266
CNP0393220.2,243.31,3.4,0.61,False,-0.34,Shikimates and Phenylpropanoids,Coumarins,2256,10.013529,11.078536
CNP0571753.1,981.54,19.43,0.03,False,0.56,Fatty acids,Glycerolipids,2260,21.124756,23.090618
CNP0499761.0,483.57,4.62,0.3,False,-0.89,Alkaloids,,2299,11.374668,9.524776
CNP0507465.2,330.22,2.54,0.78,False,-0.25,Alkaloids,Tyrosine alkaloids,2314,8.8732195,9.451253
CNP0591198.0,486.65,8.49,0.17,False,-0.06,Shikimates and Phenylpropanoids,,2317,9.40463,5.9913616
CNP0121727.2,428.58,2.65,0.8,False,-1.08,Alkaloids,Lysine alkaloids,2324,17.020187,8.379845
CNP0232112.0,261.37,4.19,0.56,False,-0.59,Shikimates and Phenylpropanoids,,2327,9.603628,5.9990554
CNP0580637.1,624.99,11.21,0.04,False,0.5,Fatty acids,Glycerolipids,2356,11.947376,-15.929101
CNP0050918.1,481.64,1.49,0.4,False,-1.61,Amino acids and Peptides,Small peptides,2377,11.017474,5.3115172
CNP0082189.0,451.32,6.54,0.35,False,-0.44,Polyketides,Chromanes,2403,9.514706,11.908174
CNP0536248.1,313.49,5.56,0.38,False,3.14,Terpenoids,Diterpenoids,2411,7.093294,3.0631642
CNP0050082.0,219.29,4.21,0.6,False,-0.59,Alkaloids,,2421,9.791553,6.8377457
CNP0491707.2,386.47,0.34,0.68,False,-0.89,Alkaloids,,2422,9.816878,5.3532414
CNP0357042.0,565.97,10.34,0.06,False,0.75,Fatty acids,Sphingolipids,2428,10.607309,2.1894703
CNP0429026.0,175.27,2.57,0.65,False,1.45,Alkaloids,Lysine alkaloids,2451,8.259841,3.43365
CNP0569549.0,389.46,3.82,0.67,False,-1.34,Alkaloids,,2467,8.791547,8.102782
CNP0537834.2,681.1,12.63,0.04,False,0.36,Fatty acids,Glycerolipids,2480,8.207555,-18.887386
CNP0501594.0,472.59,2.93,0.68,False,-0.95,Alkaloids,,2527,11.453933,6.466575
CNP0603469.1,923.55,19.68,0.03,False,0.46,Fatty acids,Glycerolipids,2587,13.791336,-6.9293942
CNP0577274.1,194.23,2.3,0.78,False,0.66,Terpenoids,Meroterpenoids,2609,7.952432,7.277242
CNP0066511.7,376.54,5.57,0.51,False,1.49,Terpenoids,Steroids,2614,6.9741826,0.14650545
CNP0541527.0,279.51,5.99,0.34,False,1.85,Alkaloids,Lysine alkaloids,2761,9.792769,2.2236724
CNP0500269.0,324.38,2.53,0.94,False,-1.38,Alkaloids,Tryptophan alkaloids,2769,10.710535,9.578818
CNP0521368.1,977.21,4.79,0.15,False,1.53,Alkaloids,Pseudoalkaloids,2781,6.149524,5.1775765
CNP0036751.3,249.74,4.02,0.74,False,-0.45,Alkaloids,,2802,9.876546,5.890454
CNP0499376.0,437.92,6.62,0.49,False,-0.8,Shikimates and Phenylpropanoids,,2811,10.496396,6.619035
CNP0527759.1,379.5,4.56,0.32,False,0.7,Unclassified,,2820,10.538989,6.5370965
CNP0517925.2,821.37,16.53,0.03,False,0.41,Fatty acids,Glycerolipids,2828,1.5413879,-12.245226
CNP0578266.3,613.6,4.11,0.43,False,-0.83,Alkaloids,,2829,17.734013,11.883958
CNP0516493.1,424.49,0.97,0.5,False,2.96,Terpenoids,,2857,3.3271468,3.309805
CNP0559295.3,424.52,4.17,0.49,False,0.93,Alkaloids,Tyrosine alkaloids,2922,7.50972,11.127739
CNP0514781.3,564.73,3.36,0.47,False,-0.8,Alkaloids,,2943,17.437836,12.005597
CNP0581279.1,656.89,5.29,0.25,False,-0.87,Alkaloids,Lysine alkaloids,2979,17.644377,11.773358
CNP0253066.2,490.74,9.51,0.32,False,1.88,Alkaloids,Tryptophan alkaloids,3002,11.485726,7.907308
CNP0468181.0,226.23,0.28,0.55,False,-0.33,Alkaloids,Anthranilic acid alkaloids,3036,10.35103,7.726294
CNP0190840.1,484.67,1.44,0.3,False,2.84,Terpenoids,Steroids,3063,6.248054,1.1403728
CNP0433002.1,212.24,1.38,0.62,False,1.99,Polyketides,Miscellaneous polyketides,3082,6.489532,4.4535437
CNP0495172.0,352.2,3.08,0.47,False,-0.9,Alkaloids,Nicotinic acid alkaloids,3111,9.124921,6.66604
CNP0323511.1,212.29,2.07,0.56,False,1.58,Terpenoids,Monoterpenoids,3147,9.590956,2.750552
CNP0498797.0,580.03,1.55,0.26,False,-2.13,Alkaloids,Pseudoalkaloids,3170,10.7573,7.356535
CNP0055012.0,558.53,0.13,0.31,True,2.12,Terpenoids,Monoterpenoids,3171,3.8950386,5.5611925
CNP0324035.0,212.25,3.33,0.79,False,-1.07,Shikimates and Phenylpropanoids,Flavonoids,3209,10.0399685,7.258682
CNP0277000.2,460.39,-2.62,0.2,False,2.67,Terpenoids,Monoterpenoids,3217,6.094208,4.432714
CNP0259768.0,170.25,2.69,0.35,False,1.07,Fatty acids,Fatty esters,3283,10.184797,2.3003085
CNP0604029.1,653.09,12.74,0.05,False,0.25,Fatty acids,Glycerolipids,3284,11.266832,1.9471738
CNP0354901.1,626.61,4.54,0.29,False,1.7,Polyketides,Polycyclic aromatic polyketides,3301,6.2369003,7.2718163
CNP0214574.1,407.27,4.07,0.46,False,0.78,Alkaloids,Tryptophan alkaloids,3322,11.894157,8.156491
CNP0434547.1,505.04,3.47,0.35,False,1.8,Unclassified,,3339,8.323901,3.088527
CNP0240915.1,514.56,1.53,0.23,False,0.81,Alkaloids,Histidine alkaloids,3342,11.388562,5.4071655
CNP0434458.1,483.56,3.12,0.64,False,1.93,Polyketides,Meroterpenoids,3347,3.0256557,3.0471442
CNP0407086.2,311.45,3.14,0.63,False,3.01,Terpenoids,Sesquiterpenoids,3388,6.6372457,2.1367137
CNP0211800.1,700.95,6.25,0.22,False,1.98,Terpenoids,Diterpenoids,3395,4.689567,3.8125653
CNP0209344.1,485.58,2.81,0.32,False,1.88,Terpenoids,Diterpenoids,3399,6.2178025,3.9245403
CNP0463203.1,330.51,3.58,0.28,False,1.36,Fatty acids,Glycerolipids,3413,9.88331,1.9534533
CNP0312017.1,358.48,5.14,0.52,False,2.6,Terpenoids,Diterpenoids,3426,5.6762495,3.1691337
CNP0003331.1,542.68,4.83,0.24,False,2.34,Alkaloids,Pseudoalkaloids,3452,12.2032585,8.3396015
CNP0524150.1,818.93,-6.44,0.04,False,1.02,Carbohydrates,Nucleosides,3471,11.273893,4.2280912
CNP0072470.0,208.21,1.54,0.75,False,1.13,Polyketides,,3483,7.668011,10.434842
CNP0532129.1,919.55,19.26,0.03,False,0.36,Fatty acids,Glycerolipids,3519,1.3962837,-12.390658
CNP0205829.1,1060.25,11.56,0.02,False,0.98,Fatty acids,Glycerophospholipids,3527,-1.5049762,15.417095
CNP0506776.1,919.55,19.26,0.03,False,0.27,Fatty acids,Glycerolipids,3575,8.207001,-18.887892
CNP0275729.2,282.34,2.1,0.61,False,1.41,Terpenoids,Sesquiterpenoids,3608,8.594659,6.7964134
CNP0502070.1,378.38,2.27,0.55,False,1.76,Polyketides,Cyclic polyketides,3622,7.0893946,6.989425
CNP0605630.1,324.42,2.59,0.42,False,2.21,Fatty acids,Eicosanoids,3623,9.907063,2.9144256
CNP0316698.1,931.81,-3.42,0.08,True,1.45,Polyketides,Polycyclic aromatic polyketides,3650,5.2642784,6.893256
CNP0577371.2,1031.77,22.38,0.03,False,0.32,Fatty acids,Glycerolipids,3667,1.4941921,-12.292522
CNP0563009.1,905.53,18.87,0.03,False,0.37,Fatty acids,Glycerolipids,3670,1.4684389,-12.31833
CNP0071776.1,673.88,4.63,0.16,False,-0.41,Amino acids and Peptides,Oligopeptides,3676,11.947942,5.824437
CNP0194140.2,410.96,0.05,0.38,True,0.84,Unclassified,,3682,9.271385,3.9116817
CNP0461343.1,250.34,2.15,0.57,False,2.74,Terpenoids,Sesquiterpenoids,3688,6.090452,4.034281
CNP0130309.0,135.17,1.59,0.55,False,-0.8,Alkaloids,Nicotinic acid alkaloids,3694,9.087862,6.6765842
CNP0539471.2,849.42,17.31,0.03,False,0.29,Fatty acids,Glycerolipids,3713,5.007909,-15.68
CNP0002421.0,190.24,2.65,0.68,False,0.47,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),3714,10.110492,7.3777056
CNP0544421.1,989.69,21.36,0.03,False,0.25,Fatty acids,Glycerolipids,3735,17.140984,-13.77204
CNP0606141.0,202.23,-2.28,0.39,False,-0.45,Unclassified,,3741,8.553229,3.40305
CNP0074413.0,342.56,5.56,0.32,False,0.52,Fatty acids,Fatty acyls,3743,10.722572,2.6680243
CNP0259536.1,441.61,4.6,0.51,False,2.18,Alkaloids,Pseudoalkaloids,3762,6.145821,5.1264005
CNP0351264.1,753.89,4.24,0.18,False,2.15,Polyketides,Macrolides,3773,5.359104,5.6710706
CNP0351767.1,818.06,4.89,0.18,False,1.49,Polyketides,Macrolides,3781,5.8548145,5.2860136
CNP0353237.1,751.04,10.67,0.03,False,0.65,Fatty acids,Glycerophospholipids,3791,-9.310842,4.409671
CNP0499500.0,322.36,3.86,0.87,False,0.72,Shikimates and Phenylpropanoids,Diazotetronic acids and derivatives,3801,8.334494,9.234592
CNP0302839.0,716.74,3.15,0.06,False,0.74,Alkaloids,,3858,8.752462,5.268533
CNP0491352.1,1202.06,-1.59,0.02,True,0.96,Shikimates and Phenylpropanoids,Flavonoids,3877,3.2032611,14.785753
CNP0101198.1,512.69,5.17,0.4,False,2.57,Terpenoids,Triterpenoids,3950,5.2554913,2.3815901
CNP0585326.0,158.11,-0.63,0.47,False,-0.03,Unclassified,,3958,9.127828,3.9546359
CNP0180583.2,522.5,-1.09,0.2,True,1.87,Shikimates and Phenylpropanoids,Stilbenoids,3977,4.9700613,14.709528
CNP0128691.0,343.38,4.13,0.53,False,-0.34,Alkaloids,Tyrosine alkaloids,3988,10.061182,10.387978
CNP0022343.1,730.06,12.43,0.02,False,0.82,Fatty acids,Glycerophospholipids,4029,0.072333485,9.824726
CNP0003277.0,190.26,1.61,0.49,False,-0.02,Fatty acids,Fatty esters,4031,9.65076,3.1256728
CNP0003269.0,428.61,5.42,0.14,False,0.94,Fatty acids,Glycerolipids,4034,10.625764,1.8554603
CNP0539313.0,457.37,5.33,0.67,False,-0.11,Alkaloids,,4047,8.481665,10.0697775
CNP0386639.2,607.74,4.52,0.31,False,0.93,Terpenoids,Steroids,4117,7.9312105,-0.37974617
CNP0141050.1,378.51,4.48,0.54,False,2.15,Unclassified,,4122,11.149717,6.6798463
CNP0192569.2,503.64,2.96,0.42,False,3.18,Alkaloids,Pseudoalkaloids,4141,3.3885958,3.1033628
CNP0582200.1,595.71,10.66,0.12,False,1.66,Terpenoids,Steroids,4151,4.191381,4.761048
CNP0235537.4,378.42,1.38,0.42,False,3.37,Terpenoids,Sesquiterpenoids,4158,2.8600016,4.6123066
CNP0332381.1,386.4,3.0,0.6,False,2.38,Shikimates and Phenylpropanoids,Flavonoids,4221,6.65923,7.0997562
CNP0512978.1,1400.4,5.94,0.02,False,0.27,Amino acids and Peptides,Oligopeptides,4229,12.842632,6.341403
CNP0158810.1,560.99,12.95,0.05,False,1.06,Fatty acids,Fatty esters,4248,11.122989,1.9772439
CNP0225843.0,209.25,2.64,0.62,False,-0.99,Alkaloids,Anthranilic acid alkaloids,4265,9.757658,6.6746626
CNP0352538.3,816.9,-2.87,0.05,True,1.33,Carbohydrates,Nucleosides,4272,6.869958,14.723373
CNP0430858.1,1332.52,-2.24,0.03,False,0.84,Amino acids and Peptides,Oligopeptides,4281,9.934307,4.501198
CNP0129602.2,898.2,2.11,0.12,False,0.91,Amino acids and Peptides,Oligopeptides,4288,12.456384,6.564928
CNP0162895.2,312.37,-2.36,0.21,False,1.1,Amino acids and Peptides,Small peptides,4289,10.198125,4.1166725
CNP0497942.1,218.34,4.05,0.61,False,2.75,Terpenoids,Sesquiterpenoids,4318,6.4120145,3.496141
CNP0155131.2,218.34,4.07,0.5,False,3.65,Terpenoids,Sesquiterpenoids,4338,7.2401266,3.5671513
CNP0198792.2,561.63,0.84,0.25,False,1.52,Terpenoids,Steroids,4357,7.869364,-0.32372114
CNP0122627.2,504.62,4.45,0.31,False,2.11,Terpenoids,Diterpenoids,4364,3.5475693,3.3571877
CNP0477640.1,370.45,2.1,0.81,False,-0.7,Alkaloids,,4368,9.740191,8.93198
CNP0243164.3,360.41,2.63,0.56,False,3.51,Terpenoids,Sesquiterpenoids,4375,2.9593925,4.49766
CNP0079311.1,407.43,1.43,0.8,False,-0.97,Alkaloids,Lysine alkaloids,4406,17.033289,8.342969
CNP0184500.2,213.23,-0.15,0.65,False,1.45,Alkaloids,,4407,6.8749313,5.0440965
CNP0361603.1,490.64,7.82,0.35,False,0.61,Terpenoids,,4409,7.2282777,6.012555
CNP0304974.5,400.43,3.52,0.33,False,2.76,Terpenoids,Sesquiterpenoids,4429,2.7767725,4.900312
CNP0402980.2,422.43,4.85,0.32,False,-0.18,Shikimates and Phenylpropanoids,Coumarins,4430,9.4696665,11.4580765
CNP0159541.3,506.64,4.86,0.48,False,0.71,Terpenoids,Steroids,4434,7.9337196,-0.3887171
CNP0190664.1,1004.17,-2.58,0.09,True,1.4,Alkaloids,Pseudoalkaloids,4455,13.485012,-1.424221
CNP0167737.1,112.22,2.83,0.45,False,0.16,Fatty acids,Fatty acyls,4456,8.476593,3.2777758
CNP0441085.1,492.07,2.73,0.45,False,-1.93,Alkaloids,,4459,10.759392,5.754864
CNP0036905.1,358.48,3.62,0.6,False,-0.36,Alkaloids,Nicotinic acid alkaloids,4480,10.902331,5.1661596
CNP0293351.1,582.6,2.56,0.15,True,1.77,Unclassified,,4487,5.582169,9.824063
CNP0212958.1,146.23,2.19,0.42,False,0.2,Fatty acids,,4526,9.396184,2.009184
CNP0102470.1,424.71,7.94,0.45,False,3.37,Terpenoids,Triterpenoids,4527,5.9434404,1.8837636
CNP0104948.1,444.57,5.35,0.3,False,0.97,Polyketides,Meroterpenoids,4603,8.406972,8.207756
CNP0234053.8,239.31,0.95,0.59,False,2.25,Alkaloids,Ornithine alkaloids,4615,8.956314,4.1106186
CNP0301246.2,1569.09,1.75,0.06,False,0.79,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),4637,5.406068,13.030506
CNP0015849.1,370.57,3.94,0.84,False,-1.37,Alkaloids,,4667,10.752513,5.31505
CNP0243830.3,678.95,8.95,0.2,False,2.21,Terpenoids,Diterpenoids,4684,5.51297,3.636928
CNP0220043.1,648.66,1.87,0.09,True,1.86,Unclassified,,4716,9.31202,2.873016
CNP0399988.4,504.45,3.69,0.23,False,0.11,Shikimates and Phenylpropanoids,Coumarins,4744,9.928148,11.243176
CNP0384514.2,364.47,2.44,0.84,False,-0.24,Alkaloids,,4756,9.21726,9.980687
CNP0475990.1,382.46,2.99,0.72,False,-0.43,Unclassified,,4786,11.349231,5.687659
CNP0256087.5,610.57,-2.35,0.1,True,1.17,Shikimates and Phenylpropanoids,Flavonoids,4831,3.521605,14.535767
CNP0204907.3,705.91,4.46,0.35,False,1.09,Amino acids and Peptides,Oligopeptides,4868,12.831327,6.387766
CNP0102861.1,983.11,-3.52,0.08,True,1.93,Terpenoids,Steroids,4875,13.46457,-1.1830134
CNP0217256.6,562.61,0.5,0.23,False,3.36,Terpenoids,Sesquiterpenoids,4966,5.755976,5.025045
CNP0225450.1,620.65,5.66,0.25,False,2.07,Shikimates and Phenylpropanoids,Lignans,4990,7.3079157,10.934178
CNP0443401.4,365.47,4.53,0.78,False,0.05,Alkaloids,Lysine alkaloids,5017,9.357854,9.926297
CNP0390866.1,563.78,3.89,0.08,False,1.64,Polyketides,Linear polyketides,5031,10.950764,4.618736
CNP0256276.3,1283.24,-1.08,0.06,False,1.1,Amino acids and Peptides,Oligopeptides,5047,13.102328,6.036606
CNP0105966.2,534.69,5.1,0.29,False,2.33,Polyketides,Meroterpenoids,5050,5.0851483,3.5634375
CNP0288963.2,300.4,4.34,0.82,False,2.22,Terpenoids,Meroterpenoids,5062,7.0442543,6.0814233
CNP0104476.1,465.59,0.42,0.5,False,3.42,Alkaloids,Pseudoalkaloids,5105,3.3157253,0.43953574
CNP0308154.4,504.63,2.23,0.5,False,2.56,Alkaloids,,5111,10.892057,6.9715414
CNP0195191.1,440.45,1.45,0.43,False,2.47,Terpenoids,,5120,2.6047404,7.736953
CNP0156022.2,424.36,-0.89,0.29,True,1.98,Shikimates and Phenylpropanoids,Styrylpyrones,5129,3.7825322,14.564171
CNP0383669.5,306.45,2.64,0.65,False,2.93,Terpenoids,Steroids,5135,6.9171734,0.12790179
CNP0316760.2,796.99,1.29,0.1,True,2.52,Terpenoids,Triterpenoids,5156,8.848572,17.602053
CNP0557110.0,388.51,5.43,0.7,False,-0.28,Shikimates and Phenylpropanoids,,5175,10.308304,7.213701
CNP0229748.2,610.52,-2.69,0.13,True,1.59,Shikimates and Phenylpropanoids,Isoflavonoids,5180,5.040998,15.8640375
CNP0122308.1,530.48,-2.87,0.12,True,2.11,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),5225,3.4051704,14.471838
CNP0256889.1,278.39,3.78,0.89,False,2.71,Terpenoids,Sesquiterpenoids,5273,7.0004864,2.9582906
CNP0360476.2,826.25,9.25,0.02,True,1.32,Fatty acids,Sphingolipids,5310,15.916465,7.065511
CNP0251369.1,1267.42,0.35,0.05,True,1.87,Terpenoids,Steroids,5314,14.014973,-0.69425005
CNP0318982.0,208.17,1.21,0.69,False,1.47,Polyketides,Chromanes,5318,8.489774,11.03679
CNP0227236.2,314.29,-1.23,0.44,True,1.76,Polyketides,,5329,5.4984827,14.628308
CNP0206229.1,756.93,0.41,0.17,True,2.59,Terpenoids,Steroids,5368,13.520465,-1.5996244
CNP0151185.1,350.46,2.19,0.71,False,3.54,Terpenoids,Diterpenoids,5375,5.06564,2.6813405
CNP0500799.1,372.42,3.11,0.5,False,1.9,Polyketides,,5376,7.7524853,6.130373
CNP0190601.1,334.5,3.71,0.77,False,2.74,Terpenoids,Steroids,5378,6.9594646,0.78475565
CNP0190556.1,616.66,2.96,0.38,False,2.18,Terpenoids,Triterpenoids,5394,3.1830788,3.4223034
CNP0113297.1,418.57,4.66,0.48,False,2.26,Terpenoids,Diterpenoids,5408,4.8147817,2.8160965
CNP0229510.2,389.62,6.21,0.46,False,-0.04,Alkaloids,,5451,10.229411,9.002472
CNP0245058.1,454.78,9.09,0.42,False,2.21,Terpenoids,Triterpenoids,5481,5.5126567,2.2168002
CNP0367143.2,299.33,1.77,0.58,False,0.73,Alkaloids,Tyrosine alkaloids,5484,8.613269,10.541199
CNP0112471.2,448.47,1.57,0.6,False,0.18,Amino acids and Peptides,,5500,9.047329,10.215886
CNP0277980.1,458.42,1.12,0.33,False,2.02,Polyketides,Polycyclic aromatic polyketides,5508,6.177908,7.126664
